[2021-03-31 16:34:07,685.685] login_business.py -> login_in:28 [INFO] : click login button <case:login>
[2021-03-31 16:34:09,407.407] login_handler.py -> slide_verify_btn:35 [INFO] : start to login verify ---->1 time <case:login>
[2021-03-31 16:34:22,793.793] main_business.py -> qc_empyt_all_deleted_mail:60 [INFO] : click deleted button <case:test_del_deleted_mail>
[2021-03-31 16:34:26,136.136] main_business.py -> qc_empyt_all_deleted_mail:66 [INFO] : choose mail one by one <case:test_del_deleted_mail>
[2021-03-31 16:34:34,730.730] main_business.py -> qc_empyt_all_deleted_mail:73 [INFO] : click quick delete button <case:test_del_deleted_mail>
[2021-03-31 16:34:37,893.893] main_business.py -> qc_empyt_all_deleted_mail:82 [INFO] : click cancel button <case:test_del_deleted_mail>
[2021-03-31 16:34:42,408.408] del_all_deleted_mail.py -> test_del_deleted_mail:22 [INFO] : assert 0=6
[2021-03-31 16:34:42,528.528] conftest.py -> login:20 [INFO] : End of test! TearDown!
[2021-03-31 16:40:37,317.317] log.py -> <module>:63 [INFO] : test
[2021-03-31 16:44:23,318.318] log.py -> <module>:67 [INFO] : test
[2021-03-31 16:44:39,202.202] log.py -> <module>:67 [INFO] : test
[2021-03-31 16:44:39,203.203] log.py -> <module>:67 [INFO] : abc123
[2021-03-31 16:44:39,203.203] log.py -> <module>:68 [INFO] : abc123
[2021-03-31 16:45:03,365.365] log.py -> <module>:67 [INFO] : test
[2021-03-31 16:45:03,366.366] log.py -> <module>:68 [INFO] : abc123
[2021-03-31 16:50:23,473.473] log.py -> <module>:67 [INFO] : test
[2021-03-31 16:50:23,474.474] log.py -> <module>:68 [INFO] : abc123
[2021-03-31 16:50:39,070.70] log.py -> <module>:67 [INFO] : test
[2021-03-31 16:50:39,070.70] log.py -> <module>:68 [INFO] : abc123
[2021-03-31 16:50:39,071.71] log.py -> <module>:69 [INFO] : 123
[2021-03-31 16:50:39,071.71] log.py -> <module>:70 [INFO] : qwer
[2021-03-31 17:06:05,691.691]  ->  [INFO] : test
[2021-03-31 17:06:12,302.302]  ->  [INFO] : test
[2021-03-31 17:06:12,302.302]  ->  [INFO] : abc123
[2021-03-31 17:06:12,302.302]  ->  [INFO] : 123
[2021-03-31 17:06:12,302.302]  ->  [INFO] : qwer
[2021-03-31 17:06:58,022.22]  ->  [INFO] : test
[2021-03-31 17:06:58,022.22]  ->  [INFO] : abc123
[2021-03-31 17:06:58,023.23]  ->  [INFO] : 123
[2021-03-31 17:06:58,023.23]  ->  [INFO] : qwer
[2021-03-31 17:07:32,696.696] 1 -> 1 [INFO] : test
[2021-03-31 17:07:32,696.696] 1 -> 1 [INFO] : abc123
[2021-03-31 17:07:32,696.696] 1 -> 1 [INFO] : 123
[2021-03-31 17:07:32,696.696] 1 -> 1 [INFO] : qwer
[2021-03-31 17:08:12,238.238] 1 -> 1 [INFO] : test
[2021-03-31 17:08:12,238.238] 1 -> 1 [INFO] : abc123
[2021-03-31 17:08:12,238.238] 1 -> 1 [INFO] : 123
[2021-03-31 17:08:12,238.238] 1 -> 1 [INFO] : qwer
[2021-03-31 17:29:30,857.857] log.py -> <module>:67 [INFO] : test
[2021-03-31 17:29:30,858.858] log.py -> <module>:68 [INFO] : abc123
[2021-03-31 17:29:30,858.858] log.py -> <module>:69 [INFO] : 123
[2021-03-31 17:29:30,859.859] log.py -> <module>:70 [INFO] : qwer
[2021-03-31 17:30:32,176.176] log.py -> <module>:65 [INFO] : test
[2021-03-31 17:30:33,682.682] log.py -> <module>:65 [INFO] : test
[2021-03-31 17:30:49,276.276] log.py -> <module>:65 [INFO] : test
[2021-03-31 17:30:49,277.277] log.py -> <module>:66 [ERROR] : test2
[2021-03-31 17:33:23,684.684] log.py -> <module>:65 [INFO] : test
[2021-03-31 17:33:23,685.685] log.py -> <module>:66 [ERROR] : test2
[2021-03-31 17:34:21,627.627] log.py -> <module>:63 [INFO] : test
[2021-03-31 17:34:51,944.944] conftest.py -> login:11 [INFO] : Initialize
[2021-03-31 17:35:11,181.181] login_business.py -> login_in:23 [INFO] : input username <case:login>
[2021-03-31 17:35:11,290.290] login_business.py -> login_in:25 [INFO] : input password <case:login>
[2021-03-31 17:35:11,977.977] login_business.py -> login_in:28 [INFO] : click login button <case:login>
[2021-03-31 17:35:13,737.737] login_handler.py -> slide_verify_btn:35 [INFO] : start to login verify ---->1 time <case:login>
[2021-03-31 17:35:27,333.333] main_business.py -> qc_empyt_all_deleted_mail:60 [INFO] : click deleted button <case:test_del_deleted_mail>
[2021-03-31 17:35:30,955.955] main_business.py -> qc_empyt_all_deleted_mail:66 [INFO] : choose mail one by one <case:test_del_deleted_mail>
[2021-03-31 17:35:39,753.753] main_business.py -> qc_empyt_all_deleted_mail:73 [INFO] : click quick delete button <case:test_del_deleted_mail>
[2021-03-31 17:35:42,916.916] main_business.py -> qc_empyt_all_deleted_mail:82 [INFO] : click cancel button <case:test_del_deleted_mail>
[2021-03-31 17:35:47,703.703] del_all_deleted_mail.py -> test_del_deleted_mail:22 [INFO] : assert 6=6
[2021-03-31 17:36:00,287.287] conftest.py -> login:20 [INFO] : End of test! TearDown!
[2021-03-31 17:36:15,183.183] conftest.py -> login:11 [INFO] : Initialize
[2021-03-31 17:36:34,719.719] login_business.py -> login_in:23 [INFO] : input username <case:login>
[2021-03-31 17:36:34,812.812] login_business.py -> login_in:25 [INFO] : input password <case:login>
[2021-03-31 17:36:35,483.483] login_business.py -> login_in:28 [INFO] : click login button <case:login>
[2021-03-31 17:36:37,216.216] login_handler.py -> slide_verify_btn:35 [INFO] : start to login verify ---->1 time <case:login>
[2021-03-31 17:36:50,399.399] main_business.py -> qc_empyt_all_deleted_mail:60 [INFO] : click deleted button <case:test_del_deleted_mail>
[2021-03-31 17:36:53,760.760] main_business.py -> qc_empyt_all_deleted_mail:66 [INFO] : choose mail one by one <case:test_del_deleted_mail>
[2021-03-31 17:37:02,333.333] main_business.py -> qc_empyt_all_deleted_mail:73 [INFO] : click quick delete button <case:test_del_deleted_mail>
[2021-03-31 17:37:05,492.492] main_business.py -> qc_empyt_all_deleted_mail:82 [INFO] : click cancel button <case:test_del_deleted_mail>
[2021-03-31 17:37:09,988.988] del_all_deleted_mail.py -> test_del_deleted_mail:22 [INFO] : assert 6=6
[2021-03-31 17:37:22,629.629] conftest.py -> login:20 [INFO] : End of test! TearDown!
[2021-03-31 17:50:37,199.199] conftest.py -> login:11 [INFO] : Initialize
[2021-03-31 17:50:56,295.295] login_business.py -> login_in:23 [INFO] : input username <case:login>
[2021-03-31 17:50:56,392.392] login_business.py -> login_in:25 [INFO] : input password <case:login>
[2021-03-31 17:50:57,056.56] login_business.py -> login_in:28 [INFO] : click login button <case:login>
[2021-03-31 17:50:58,799.799] login_handler.py -> slide_verify_btn:35 [INFO] : start to login verify ---->1 time <case:login>
[2021-03-31 17:51:11,984.984] login_test.py -> setup_class:26 [INFO] : Initialize
[2021-03-31 17:51:31,338.338] login_test.py -> test_login:46 [INFO] : perform test_login case <case:test_login>
[2021-03-31 17:51:31,339.339] login_business.py -> login_in:23 [INFO] : input username <case:test_login>
[2021-03-31 17:51:31,352.352] login_business.py -> login_in:36 [ERROR] : Traceback (most recent call last):
  File "/Users/chenrongtao/PycharmProjects/QQMail-EmptyTrash/business/login_business.py", line 24, in login_in
    log_in.send_username(self._username)
  File "/Users/chenrongtao/PycharmProjects/QQMail-EmptyTrash/Handler/login_handler.py", line 17, in send_username
    ur_element = self.driver.get_username_element()
  File "/Users/chenrongtao/PycharmProjects/QQMail-EmptyTrash/Page/login_page.py", line 25, in get_username_element
    self.__switch_to_login_frame__()
  File "/Users/chenrongtao/PycharmProjects/QQMail-EmptyTrash/Page/login_page.py", line 14, in __switch_to_login_frame__
    a = self.fe.find_element('login_frame')
  File "/Users/chenrongtao/PycharmProjects/QQMail-EmptyTrash/tools/find_elements.py", line 14, in find_element
    return self.driver.find_element_by_xpath(data[1])
  File "/Users/chenrongtao/PycharmProjects/QQMail-EmptyTrash/venv/lib/python3.8/site-packages/selenium/webdriver/remote/webdriver.py", line 394, in find_element_by_xpath
    return self.find_element(by=By.XPATH, value=xpath)
  File "/Users/chenrongtao/PycharmProjects/QQMail-EmptyTrash/venv/lib/python3.8/site-packages/selenium/webdriver/remote/webdriver.py", line 976, in find_element
    return self.execute(Command.FIND_ELEMENT, {
  File "/Users/chenrongtao/PycharmProjects/QQMail-EmptyTrash/venv/lib/python3.8/site-packages/selenium/webdriver/remote/webdriver.py", line 321, in execute
    self.error_handler.check_response(response)
  File "/Users/chenrongtao/PycharmProjects/QQMail-EmptyTrash/venv/lib/python3.8/site-packages/selenium/webdriver/remote/errorhandler.py", line 242, in check_response
    raise exception_class(message, screen, stacktrace)
selenium.common.exceptions.NoSuchElementException: Message: no such element: Unable to locate element: {"method":"xpath","selector":"//iframe[@id='login_frame']"}
  (Session info: chrome=89.0.4389.90)


[2021-03-31 17:51:31,434.434] login_test.py -> teardown_class:39 [INFO] : End of test! TearDown!
[2021-03-31 17:51:34,559.559] conftest.py -> login:20 [INFO] : End of test! TearDown!
[2021-03-31 17:54:15,110.110] login_test.py -> setup_class:26 [INFO] : Initialize
[2021-03-31 17:54:33,998.998] login_test.py -> test_login:46 [INFO] : perform test_login case <case:test_login>
[2021-03-31 17:54:33,998.998] login_business.py -> login_in:23 [INFO] : input username <case:test_login>
[2021-03-31 17:54:34,103.103] login_business.py -> login_in:25 [INFO] : input password <case:test_login>
[2021-03-31 17:54:34,752.752] login_business.py -> login_in:28 [INFO] : click login button <case:test_login>
[2021-03-31 17:54:36,463.463] login_handler.py -> slide_verify_btn:35 [INFO] : start to login verify ---->1 time <case:test_login>
[2021-03-31 17:54:48,245.245] login_handler.py -> slide_verify_btn:35 [INFO] : start to login verify ---->2 time <case:test_login>
[2021-03-31 17:55:01,349.349] login_test.py -> teardown_class:39 [INFO] : End of test! TearDown!
